region,Acc,name,network,hemi,bankssts_left,bankssts_right,caudalanteriorcingulate_left,caudalanteriorcingulate_right,caudalmiddlefrontal_left,caudalmiddlefrontal_right,cuneus_left,cuneus_right,entorhinal_left,entorhinal_right,frontalpole_left,frontalpole_right,fusiform_left,fusiform_right,inferiorparietal_left,inferiorparietal_right,inferiortemporal_left,inferiortemporal_right,insula_left,insula_right,isthmuscingulate_left,isthmuscingulate_right,lateraloccipital_left,lateraloccipital_right,lateralorbitofrontal_left,lateralorbitofrontal_right,lingual_left,lingual_right,medialorbitofrontal_left,medialorbitofrontal_right,middletemporal_left,middletemporal_right,paracentral_left,paracentral_right,parahippocampal_left,parahippocampal_right,parsopercularis_left,parsopercularis_right,parsorbitalis_left,parsorbitalis_right,parstriangularis_left,parstriangularis_right,pericalcarine_left,pericalcarine_right,postcentral_left,postcentral_right,posteriorcingulate_left,posteriorcingulate_right,precentral_left,precentral_right,precuneus_left,precuneus_right,rostralanteriorcingulate_left,rostralanteriorcingulate_right,rostralmiddlefrontal_left,rostralmiddlefrontal_right,superiorfrontal_left,superiorfrontal_right,superiorparietal_left,superiorparietal_right,superiortemporal_left,superiortemporal_right,supramarginal_left,supramarginal_right,temporalpole_left,temporalpole_right,transversetemporal_left,transversetemporal_right
middle temporal,0.817943,middletemporal L,dmn,right,0.9587163556310141,0.9544339089334695,0.9428419108124663,0.9417511844848628,0.9127747390022496,0.9061006739688223,0.815167542149197,0.8168715395074224,0.9689272465001618,0.9637974038275638,0.8556649739957753,0.8543210724292671,0.9389420925820605,0.9433547149427219,0.9080780381546955,0.9132742054400413,0.9870502539418997,0.9745615353892328,0.9684505757734594,0.9621692783785712,0.937652394679806,0.9369777890933239,0.8201598469957696,0.8120557079235456,0.8971607211398201,0.8929606216848897,0.8603137526084758,0.862847925971503,0.8895046142298495,0.888213486955546,1.0,0.976395332043918,0.8771382595424217,0.8734849505410337,0.974639941512846,0.9723577302340753,0.942978971944717,0.9340908440843657,0.9033387430647832,0.8862073455970194,0.9285140448267877,0.9133076836487901,0.8004725017696582,0.8028859594699764,0.916945288341798,0.918229550716075,0.9231919473971879,0.9237629376650371,0.909782389939953,0.9060910700995566,0.9038523900392201,0.9022399713010365,0.9118405576536897,0.9099154564369337,0.8911937600341784,0.8792727629750638,0.8937613773649494,0.8855692678339143,0.873675717369403,0.8692277402603822,0.9867971887411828,0.9708486639621504,0.9359971068676469,0.9338472952235652,0.9463138789340513,0.922424489082105,0.9708700508685818,0.9657983227833317
middle temporal,0.785986,middletemporal R,dmn,left,0.9373495553298505,0.9583667257535049,0.9462786857672997,0.94668364236114,0.9199821361296964,0.9186905654321259,0.7993315761578078,0.8016577853487489,0.9689912441992566,0.9724232119411629,0.8806043067210515,0.8797488957539641,0.9206753271415915,0.9442186509081707,0.8943446494641101,0.9087768326803728,0.9709489425495209,0.9897840190136943,0.9697340167840645,0.9754584425830672,0.9335163127318541,0.934731232528521,0.8012193191126291,0.7955361735120002,0.9164124377471553,0.9166003457529016,0.845763207640029,0.8494620223831427,0.9103340758939938,0.9104246799151546,0.976395332043918,1.0,0.8809825649783284,0.8783197017187752,0.9639249165832229,0.9734214613535247,0.947658810174229,0.9503658734464296,0.9205591897808767,0.9108926899931266,0.9391973472337274,0.9335502644397563,0.7846043538932974,0.7875915771636388,0.9146199261525906,0.9245014401249714,0.9252764690892856,0.9267153057105065,0.9117219440226738,0.9159755818183516,0.8963711545276914,0.8959832107648169,0.9286384086674035,0.927279354422254,0.9100652270333159,0.9021243681799449,0.9088701709619216,0.9025529079706825,0.8666072607661218,0.8635702515696285,0.9731457052269835,0.9856777759490031,0.9252718092039472,0.9357578014923499,0.9541996296701313,0.941930517662612,0.9566079568426024,0.9693558680731948
paracentral,0.768332,paracentral L,somatomotor,right,0.8517591827700507,0.8682889202130281,0.9448323164786633,0.9443775227488849,0.9483720617595452,0.9374808886114223,0.7499297647972304,0.7556479976897282,0.8821840749030708,0.882614861086138,0.8216486647678063,0.8194854189378882,0.8242541419786075,0.8365883829340172,0.8544022267926235,0.8641270315423869,0.8649744135356443,0.8737459363001836,0.9122529294441966,0.9094179778881166,0.9356188859827682,0.942789872405727,0.727979894434623,0.7198909614306054,0.8571531644587421,0.852179074071941,0.7724814043511326,0.7758398840410787,0.8541464495049684,0.8554809326529949,0.8771382595424217,0.8809825649783284,1.0,0.9913478850749922,0.8722340205729945,0.8771841301212278,0.925827945637966,0.9227537957542582,0.8595637808451846,0.849669289402801,0.8946898986248593,0.8879311362438373,0.7174047315079977,0.7219141092117358,0.9552449378571147,0.9569019263322206,0.9769118435468237,0.9722607411991183,0.9669351349118074,0.9639409641657267,0.884442324567206,0.8874928620007774,0.8945359576535838,0.8948854200996423,0.8677574705114619,0.8575983053373508,0.911069267381271,0.8982544471881931,0.8897445608149925,0.8876197251980207,0.8940387587757587,0.8985078057713085,0.9107850758937218,0.917856606788302,0.8691765729250371,0.8583690139608412,0.8924674294919552,0.9032421764626205
paracentral,0.744596,paracentral R,somatomotor,left,0.8429998475426955,0.8607131548998951,0.9427182093022534,0.9430904636410147,0.9482949584776622,0.9410792076974721,0.7370627133169537,0.7425794700481503,0.8809941579591961,0.8825262032180919,0.8300490849334135,0.8278438903873003,0.8155123998015086,0.8291565775368146,0.8419459513199289,0.8532774168405844,0.8604984788512947,0.871733137527333,0.9113765553578942,0.9087085338085826,0.9265681053940901,0.9343600683770465,0.7157410217435937,0.7070789597208076,0.8633441860494834,0.8583822816058572,0.7625590634784865,0.7651335691248252,0.8607392494435334,0.8618016477707242,0.8734849505410337,0.8783197017187752,0.9913478850749922,1.0,0.8665956403500621,0.8729249294456297,0.9268497490219441,0.9247810002863316,0.8655704609437198,0.8563386402127157,0.89820807110033,0.8925520344012419,0.7062124402249157,0.7105817316588388,0.9480629576964892,0.9530733355993655,0.975677447348798,0.9747006896517272,0.9630968932184832,0.9659179567919298,0.8735050907335173,0.8752583439851914,0.8987550453725167,0.8990273668830189,0.8739124276865253,0.8645414490257971,0.9161936713642477,0.9042897212355295,0.877413159892314,0.8752718341989276,0.8899389614451086,0.8961978367724648,0.9012693032252785,0.9101444626345571,0.8718079579459902,0.8626442889010979,0.8859721159696963,0.8976866978136587
parahippocampal,0.801358,parahippocampal L,dmn,right,0.9600146001381339,0.9622428005622937,0.938614066639378,0.9367224353463972,0.8958846353744842,0.8849803189355119,0.8531524206851706,0.855699120011391,0.9631592411553691,0.9578305449401744,0.8151464522406787,0.8134112250360971,0.9638052766590495,0.9672930044163655,0.9221725547977719,0.9273325254843949,0.9792832299270127,0.9658615016771618,0.954318883591204,0.9511763756804916,0.94375346339342,0.9413939223994089,0.8620385159379362,0.8580968619245303,0.8625331818104162,0.8591119470372178,0.8982139350965302,0.9023256066958617,0.8550907090377865,0.8538144981985621,0.974639941512846,0.9639249165832229,0.8722340205729945,0.8665956403500621,1.0,0.9870270353272246,0.9218196786888381,0.9127646728404417,0.8691034395899906,0.8500652454524705,0.9006870488254995,0.8836918702174719,0.8426139137321998,0.8453929673716227,0.9094057673334324,0.9081371809160088,0.9241735939132637,0.9236102726248089,0.8967504257724253,0.8904906976838431,0.9213485487077775,0.919771664431232,0.884780474946295,0.8832965308432834,0.8573201314230529,0.8438216485381449,0.8686580969141381,0.858595131968508,0.8874048890266392,0.8848720469202604,0.9725310406379567,0.9579426100362578,0.9329767610632439,0.9327496475219479,0.9232956387059108,0.8943332025369191,0.974660151732204,0.9696404516811835
parahippocampal,0.792224,parahippocampal R,visual,left,0.9502517327495297,0.9629942639531311,0.9444073926945085,0.9436722831662334,0.9054700544023273,0.8995995519832932,0.8383670612367617,0.8406320795765452,0.9685841268191047,0.9690516638831037,0.8419198024081423,0.8400573409316456,0.9536928454117185,0.9674618463062988,0.9122236941920477,0.9226053999265071,0.975869622660129,0.976389315244998,0.9616281724109377,0.9631199422802335,0.9416212901858562,0.9406336899328682,0.8471225288951741,0.8426724857889832,0.8844224901401615,0.8825668378154182,0.8887796644421729,0.8896587836448706,0.8781737883604417,0.8769726260187268,0.9723577302340753,0.9734214613535247,0.8771841301212278,0.8729249294456297,0.9870270353272246,1.0,0.9319054615354784,0.9274118014870499,0.8889910980755339,0.8736526654957497,0.9155147124973119,0.9028208531914667,0.8290781510768624,0.8311195778881277,0.9104780430593828,0.9157007561865,0.9281231089813999,0.9289275513636434,0.9020287155867346,0.9011778106881903,0.914733213641584,0.9129527358150686,0.9035963573793621,0.9018620109234414,0.8783990370957278,0.8672288441851361,0.8861779321066324,0.8775024927314443,0.8803438369109832,0.8773163895094593,0.9704917646470629,0.9685589863812304,0.9283488761810457,0.9358229353961671,0.9369893812084367,0.9147652195803633,0.9672692497918509,0.9770941705172379
pars opercularis,0.747564,parsopercularis L,ventral_attention,right,0.8795002715108193,0.8955214388651502,0.9756106214655771,0.975963693552396,0.9756814658032628,0.9722052724096597,0.737358923545472,0.7409646734571566,0.9590139428272564,0.9596503225464625,0.9290041038791634,0.9270557374418619,0.8558282250722898,0.8755833366362248,0.8459332924362591,0.8588388201125284,0.9285205386203237,0.9453180154923811,0.9810762230180913,0.9740610566147662,0.9313147147195525,0.9362864345884787,0.7321126013233519,0.718336417194462,0.957312459363348,0.9506497279136128,0.7845410269744102,0.787544888071691,0.9509186210203682,0.950674510362726,0.942978971944717,0.947658810174229,0.925827945637966,0.9268497490219441,0.9218196786888381,0.9319054615354784,1.0,0.9829018590879276,0.9624847149467302,0.9506934772423903,0.9841430311831748,0.9717890644547638,0.7203898145205213,0.7240895788871455,0.938409268645555,0.9450525439233805,0.9582694873660151,0.9599386074062194,0.9618745917995477,0.9619113141497472,0.8672928588310508,0.8669173701592218,0.9719973296622187,0.9714544942872846,0.9621830887314599,0.9527407408915489,0.9676027413362445,0.9609204634891881,0.8473184640829962,0.8441188402451381,0.9538475840570104,0.9594307973833093,0.9073734186632118,0.9157815215904057,0.9640098104694723,0.9562079600118341,0.9268913154883887,0.9362051212339024
pars opercularis,0.737226,parsopercularis R,ventral_attention,left,0.8659379638695992,0.8921614905684297,0.9713415655552297,0.973252685160756,0.9709027748028414,0.9778190116701732,0.7242391331266688,0.7278957533677127,0.9563401440819862,0.960436371944075,0.9395942361427633,0.9388798569127899,0.8441960523666842,0.8711223482921561,0.8332230714988699,0.851426434200092,0.9201836481083575,0.9479671624858856,0.9725840750773425,0.9793842140949574,0.9212868539188547,0.9277956626489193,0.7185889878402872,0.7055866458819369,0.9616236948218965,0.9618462373408438,0.772696400564754,0.7762566323011834,0.9578522925794373,0.9586754577423438,0.9340908440843657,0.9503658734464296,0.9227537957542582,0.9247810002863316,0.9127646728404417,0.9274118014870499,0.9829018590879276,1.0,0.9649838561852323,0.9629627958901903,0.9795332525459586,0.9843087740754226,0.7072867019315365,0.7114338384862902,0.9273805914896325,0.9460576598022703,0.9531259136562145,0.9564723197378798,0.9521084034341616,0.9672477432116444,0.8560865424980625,0.8563037634503552,0.9751105102187073,0.9755527255692034,0.9675399905688177,0.9633839114325171,0.9712816652584663,0.9664566970617222,0.8368843465319981,0.8350864222530279,0.942836368884342,0.962816701949263,0.8947307232822564,0.9130461630004774,0.9647306297709806,0.9645261125275918,0.9143050459771801,0.9339094018304758
pars orbitalis,0.700116,parsorbitalis L,dmn,right,0.8029804539515356,0.8296204326909861,0.9308214017712426,0.9348023503350447,0.9331948841327836,0.94789618621856,0.6500924712582182,0.6522910398467491,0.9440095012445072,0.9482115817333114,0.9827138496343817,0.9818282909715986,0.7858144448333871,0.8186013689892532,0.7595149434216834,0.7786668052492767,0.8868038947646966,0.9239819515102832,0.9525336540543393,0.9543421996237934,0.8589363286331871,0.866847432771426,0.6513735527561602,0.6319000468711348,0.9915199939636047,0.9876211212411332,0.708224110714531,0.7112192720957712,0.9866029326090038,0.9863432699571848,0.9033387430647832,0.9205591897808767,0.8595637808451846,0.8655704609437198,0.8691034395899906,0.8889910980755339,0.9624847149467302,0.9649838561852323,1.0,0.9891817975288633,0.9868019119227504,0.9840624976932209,0.6416943117846567,0.645336430534865,0.8631947093568011,0.8849264582493678,0.8956361148044808,0.9012202558926715,0.897054106017179,0.9160963890543647,0.785003315656336,0.7860426955054026,0.9821154161928475,0.9815145300008348,0.9899838185535172,0.9864492673857135,0.9661064513474508,0.9682955981698326,0.7600201141362081,0.7591914573081961,0.9080681702907857,0.9288850733508185,0.824523361944668,0.8436287331512681,0.9772882572984819,0.9829026520050302,0.86105646426507,0.878853906401748
pars orbitalis,0.671851,parsorbitalis R,dmn,left,0.7824360881827966,0.8127889494030939,0.9193919235141774,0.9242017766784418,0.9241038952123545,0.9433177159380762,0.6284828713720503,0.6307205573734866,0.9309748002034066,0.9382578711577083,0.988221382885826,0.9884582263452112,0.7635123225153756,0.8008960862595221,0.7401281542880771,0.7616576928140237,0.8688313979889245,0.9138023914374411,0.9403715735179788,0.9471126617522719,0.8431774656664345,0.8520040661685669,0.6285888074238818,0.6087794379579181,0.989128519728694,0.9930749248859633,0.6864594687528365,0.6894966548559633,0.9883237832479995,0.9890074372659174,0.8862073455970194,0.9108926899931266,0.849669289402801,0.8563386402127157,0.8500652454524705,0.8736526654957497,0.9506934772423903,0.9629627958901903,0.9891817975288633,1.0,0.9756144968084725,0.9880715928127517,0.6202160848392354,0.6233356152122453,0.8483441398376962,0.8755396822395727,0.8834911664117229,0.8898048263378385,0.8848956586530599,0.9094130152103815,0.7666643064766012,0.7680481653158628,0.9803651975785579,0.9806977263275063,0.987985809240443,0.9921379904146842,0.9636275317289869,0.967266019349558,0.7433893713254521,0.742929220973937,0.889742529109971,0.9215564206786534,0.8068940425610465,0.8300166087531109,0.9679242923230674,0.9840739412559734,0.8406844250877009,0.865683794402438
